id,code,ns,count
HUBU-CCEE.ORL.BD511R-0,HUBU-CCEE.ORL.BD511R,0,1.0
HUBU-CCEE.ORL.BD560R-0,HUBU-CCEE.ORL.BD560R,0,2.0
HUBU-CCEE.ORL.BD870R-0,HUBU-CCEE.ORL.BD870R,0,2.0
HUBU-CCEE.ORL.BD880R-0,HUBU-CCEE.ORL.BD880R,0,2.0
HUBU-CCEE.ORL.BD883R-0,HUBU-CCEE.ORL.BD883R,0,2.0
HUBU-CCEE.ORL.BH104R-0,HUBU-CCEE.ORL.BH104R,0,1.0
HUBU-CCEE.ORL.BH444R-0,HUBU-CCEE.ORL.BH444R,0,2.0
HUBU-CCEE.ORL.BH445R-0,HUBU-CCEE.ORL.BH445R,0,2.0
HUBU-CCEE.ORL.BH644R-0,HUBU-CCEE.ORL.BH644R,0,1.0
HUBU-CCEE.ORL.BH645R-0,HUBU-CCEE.ORL.BH645R,0,2.0
HUBU-CCEE.ORL.GF352R-0,HUBU-CCEE.ORL.GF352R,0,1.0
HUBU-CCEE.ORL.GF362R-0,HUBU-CCEE.ORL.GF362R,0,2.0
HUBU-CCEE.ORL.GF363R-0,HUBU-CCEE.ORL.GF363R,0,2.0
HUBU-CCEE.ORL.GF364R-0,HUBU-CCEE.ORL.GF364R,0,2.0
HUBU-CCEE.ORL.GF365R-0,HUBU-CCEE.ORL.GF365R,0,1.0
HUBU-CCEE.ORL.OF288R-0,HUBU-CCEE.ORL.OF288R,0,1.0
HUBU-CCEE.ORL.OF356R-0,HUBU-CCEE.ORL.OF356R,0,2.0
HUBU-CCEE.ORL.OF358R-0,HUBU-CCEE.ORL.OF358R,0,2.0
HUBU-CCEE.ORL.OF608R-0,HUBU-CCEE.ORL.OF608R,0,1.0
HUBU-CCEE.ORL.OF610R-0,HUBU-CCEE.ORL.OF610R,0,1.0
HUBU-CCEE.ORL.OG002R-0,HUBU-CCEE.ORL.OG002R,0,2.0
HUBU-CCEE.ORL.OG037R-0,HUBU-CCEE.ORL.OG037R,0,2.0
HUBU-CCEE.ORL.OG101R-0,HUBU-CCEE.ORL.OG101R,0,2.0
HUBU-CCEE.ORL.OG325R-0,HUBU-CCEE.ORL.OG325R,0,1.0
HUBU-CCEE.ORL.OG330R-0,HUBU-CCEE.ORL.OG330R,0,1.0
HUBU-CCEE.ORL.OG341R-0,HUBU-CCEE.ORL.OG341R,0,1.0
HUBU-CCEE.ORL.OG345R-0,HUBU-CCEE.ORL.OG345R,0,2.0
HUBU-CCEE.ORL.OK035R-0,HUBU-CCEE.ORL.OK035R,0,2.0
HUBU-CCEE.ORL.OK037R-0,HUBU-CCEE.ORL.OK037R,0,1.0
HUBU-CCEE.ORL.OK038R-0,HUBU-CCEE.ORL.OK038R,0,1.0
HUBU-CCEE.ORL.OK039R-0,HUBU-CCEE.ORL.OK039R,0,2.0
HUBU-CCEE.ORL.OK049R-0,HUBU-CCEE.ORL.OK049R,0,2.0
HUBU-CCEE.ORL.OK081R-0,HUBU-CCEE.ORL.OK081R,0,2.0
HUBU-CCEE.ORL.OK875C-0,HUBU-CCEE.ORL.OK875C,0,1.0
HUBU-CCEE.ORL.OM085R-0,HUBU-CCEE.ORL.OM085R,0,1.0
HUBU-CCEE.ORL.OM086R-0,HUBU-CCEE.ORL.OM086R,0,1.0
HUBU-CCEE.ORL.OM087R-0,HUBU-CCEE.ORL.OM087R,0,1.0
HUBU-CCEE.ORL.OM088R-0,HUBU-CCEE.ORL.OM088R,0,1.0
HUBU-CCEE.ORL.OM089R-0,HUBU-CCEE.ORL.OM089R,0,1.0
HUBU-CCEE.ORL.OM090R-0,HUBU-CCEE.ORL.OM090R,0,1.0
HUBU-CCEE.ORL.OM235R-0,HUBU-CCEE.ORL.OM235R,0,1.0
HUBU-CCEE.SUELTO-0,HUBU-CCEE.SUELTO,0,2.0
HUBU-CCEE.TR.BD049R-0,HUBU-CCEE.TR.BD049R,0,2.0
HUBU-CCEE.TR.BD222R-0,HUBU-CCEE.TR.BD222R,0,1.0
HUBU-CCEE.TR.BD511R-0,HUBU-CCEE.TR.BD511R,0,1.0
HUBU-CCEE.TR.BD559R-0,HUBU-CCEE.TR.BD559R,0,1.0
HUBU-CCEE.TR.BH442R-0,HUBU-CCEE.TR.BH442R,0,1.0
HUBU-CCEE.TR.BH443R-0,HUBU-CCEE.TR.BH443R,0,2.0
HUBU-CCEE.TR.BH642R-0,HUBU-CCEE.TR.BH642R,0,1.0
HUBU-CCEE.TR.BM111R-0,HUBU-CCEE.TR.BM111R,0,2.0
HUBU-CCEE.URO.BC110R-0,HUBU-CCEE.URO.BC110R,0,1.0
HUBU-CCEE.URO.BD049R-0,HUBU-CCEE.URO.BD049R,0,1.0
HUBU-CCEE.URO.BH110R-0,HUBU-CCEE.URO.BH110R,0,1.0
HUBU-CCEE.URO.BH111R-0,HUBU-CCEE.URO.BH111R,0,1.0
HUBU-CCEE.URO.EF836R-0,HUBU-CCEE.URO.EF836R,0,1.0
HUBU-CCEE.URO.EF842R-0,HUBU-CCEE.URO.EF842R,0,1.0
HUBU-CCEE.URO.EF846R-0,HUBU-CCEE.URO.EF846R,0,1.0
HUBU-CCEE.URO.EF850R-0,HUBU-CCEE.URO.EF850R,0,1.0
HUBU-CCEE.URO.EF854R-0,HUBU-CCEE.URO.EF854R,0,1.0
HUBU-CCEE.URO.EF856R-0,HUBU-CCEE.URO.EF856R,0,1.0
HUBU-CCEE.URO.EF858R-0,HUBU-CCEE.URO.EF858R,0,1.0
HUBU-HOS.CARD.BC416R-0,HUBU-HOS.CARD.BC416R,0,1.0
HUBU-HOS.CARD.BC445R-0,HUBU-HOS.CARD.BC445R,0,1.0
HUBU-HOS.CGA.BC326R-0,HUBU-HOS.CGA.BC326R,0,2.0
HUBU-HOS.CGA.BD049R-0,HUBU-HOS.CGA.BD049R,0,2.0
HUBU-HOS.CGA.BH442R-0,HUBU-HOS.CGA.BH442R,0,2.0
HUBU-HOS.CGA.BM065R-0,HUBU-HOS.CGA.BM065R,0,2.0
HUBU-HOS.CGA.BN054R-0,HUBU-HOS.CGA.BN054R,0,1.0
HUBU-HOS.CGB.BC326R-0,HUBU-HOS.CGB.BC326R,0,1.0
HUBU-HOS.CGB.BD049R-0,HUBU-HOS.CGB.BD049R,0,2.0
HUBU-HOS.CGB.BH424R-0,HUBU-HOS.CGB.BH424R,0,1.0
HUBU-HOS.CGB.BH442R-0,HUBU-HOS.CGB.BH442R,0,2.0
HUBU-HOS.CGB.BH642R-0,HUBU-HOS.CGB.BH642R,0,1.0
