0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,bm,bpm,timestamp-diff
EXT-QUI.GOMA-0,HUBU-QUI.GIN.JG524R-0,HUBU-QUI.CPL.LX159R-0,HUBU-QUI.CPL.BJ013R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b30161,b30161,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b30115,45 days 20:53:00
EXT-QUI.GOMA-0,EXT-QUI.HARM-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b329498,b29847,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.015-0,EXT-QUI.015-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6216,b6216,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,HUBU-QUI.CPL.FO918A-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6314,b6314,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6525,b6525,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b6462,14 days 23:13:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b6539,18 days 17:13:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b29033,47 days 17:19:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4224,b328689,21 days 01:53:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b57,44 days 05:36:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b28,44 days 20:07:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b9074,5 days 21:02:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8914,10 days 00:04:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.HARM-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9027,b9027,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b29575,46 days 21:39:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b29628,46 days 19:42:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8250,12 days 00:27:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-HOS.008-0,EXT-HOS.008-0,EXT-HOS.008-0,EXT-HOS.008-0,EXT-HOS.008-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8432,b8432,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b44101,11 days 20:56:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b27858,50 days 05:37:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b1488,38 days 19:26:00
EXT-QUI.GOMA-0,EXT-QUI.HARM-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1868,b1868,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.HARM-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9027,b27623,41 days 23:35:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b27550,51 days 23:24:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b1857,36 days 22:11:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8051,12 days 20:51:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b5847,20 days 20:57:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b5698,21 days 00:07:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b28414,48 days 20:19:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b38210,25 days 21:26:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b4732,25 days 20:41:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4224,b386,14 days 22:56:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b31094,42 days 00:44:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b31126,42 days 00:26:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b11069,1 days 05:25:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b5569,21 days 05:34:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8662,10 days 23:04:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8782,10 days 17:22:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8787,10 days 05:54:00
