,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
67,ER,2022-03-27 13:58:00+00:00,Entrada Material Sucio,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
68,LI,2022-03-27 15:48:00+00:00,Montaje,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
69,LI,2022-03-27 15:58:00+00:00,Producción montada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
70,LI,2022-03-27 15:31:00+00:00,Carga L+D liberada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
71,ER,2022-03-27 14:06:00+00:00,Carga L+D iniciada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
72,ER,2022-03-27 14:06:00+00:00,Cargado en carro L+D,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
73,LI,2022-03-27 16:00:00+00:00,Montaje,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
74,ER,2022-03-27 14:06:00+00:00,Carga L+D iniciada,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
75,ER,2022-03-27 14:06:00+00:00,Cargado en carro L+D,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
76,LI,2022-03-27 15:31:00+00:00,Carga L+D liberada,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
77,LI,2022-03-27 20:48:00+00:00,Composición de cargas,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
78,LI,2022-03-27 16:01:00+00:00,Producción montada,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
79,ER,2022-03-27 13:58:00+00:00,Entrada Material Sucio,EQP-QUI.OPT-23,23,EQP-QUI.OPT,EQP-QUI.OPT-23-CN33874
80,ER,2022-03-27 12:50:00+00:00,Cargado en carro L+D,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
81,ER,2022-03-27 13:50:00+00:00,Montaje,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
82,ER,2022-03-27 13:46:00+00:00,Carga L+D liberada,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
83,LI,2022-03-27 20:48:00+00:00,Composición de cargas,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
84,ER,2022-03-27 12:46:00+00:00,Entrada Material Sucio,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
85,ER,2022-03-27 13:52:00+00:00,Producción montada,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
86,ER,2022-03-27 12:50:00+00:00,Carga L+D iniciada,HNB-CPL.002-8,8,HNB-CPL.002,HNB-CPL.002-8-CN33868
87,ER,2022-03-27 13:46:00+00:00,Carga L+D liberada,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
88,ER,2022-03-27 13:54:00+00:00,Montaje,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
89,LI,2022-03-27 20:49:00+00:00,Composición de cargas,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
90,ER,2022-03-27 12:46:00+00:00,Entrada Material Sucio,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
91,ER,2022-03-27 12:50:00+00:00,Cargado en carro L+D,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
92,ER,2022-03-27 13:54:00+00:00,Producción montada,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
93,ER,2022-03-27 12:50:00+00:00,Carga L+D iniciada,HNB-CPL.009-1,1,HNB-CPL.009,HNB-CPL.009-1-CN33869
94,ER,2022-03-27 13:46:00+00:00,Carga L+D liberada,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
95,LI,2022-03-27 20:48:00+00:00,Composición de cargas,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
96,ER,2022-03-27 13:49:00+00:00,Montaje,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
97,ER,2022-03-27 12:50:00+00:00,Carga L+D iniciada,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
