process_cycle,repetition
"Entrada Material Sucio, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",7
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",7
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",7
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",7
"Entrada Material Sucio, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",7
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",7
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",7
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada",6
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje",6
"Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",6
"Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",6
Carga L+D liberada,6
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D liberada",6
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",6
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",6
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",6
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",6
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada",6
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",6
