r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-QUI.CG-3,453,1,-175.0
CONT-QUI.CV-3,1334,1,-82.0
CONT-QUI.GINE-2,1398,1,1307.0
HGY-QUI.CAJA-0,0,1,-1214.0
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,174,1,174.0
CONT-QUI.ORL-4,158,1,22.0
CONT-QUI.URO-2,633,1,-443.0
CONT-QUI.OFT-1,94,1,-1078.0
CONT-QUI.TRA-2,26,1,-1.0
HGY-URG.CAJA-0,318,1,-1121.0
CONT-QUI.CG-2,400,1,-660.0
CONT-URGENCIAS-2,365,1,-1072.0
CONT-HOS.UCIA-4,1415,1,5.0
CONT-HOS.CG-1,10,1,
HGY-QUI.TRA.CAJA-0,0,1,-30.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HNB-URO.001-8,1,1,
HUBU-TR.003-2,1,1,
HNB-TR.010-1,1,1,
HNB-GIN.009-4,1,1,
HNB-GIN.015-7,1,1,
CONT-CCEE.URO-3,10,1,
CONT-CCEE.ORL-3,231,1,223.0
CONT-QUI.GINE-1,82,1,-309.0
CONT-HOS.NEF-1,1434,1,1425.0
CONT-QUI.CG-2,61,1,-339.0
CONT-QUI.CV-5,109,1,-125.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.TRA-1,81,1,-67.0
HGY-QUI.TRA.CAJA-0,39,1,39.0
CONT-QUI.URO-2,6,1,-627.0
CONT-QUI.URO-1,70,1,
TRAN-QUI.TRA.EXATECH-4,98,1,
CONT-QUI.OFT-1,1175,1,1081.0
CONT-QUI.URO-1,151,1,81.0
TRAN-QUI.TRA.STRYKER-3,1418,1,52.0
TRAN-QUI.TRA.STRYKER-3,42,1,-1376.0
CONT-QUI.URO-2,1431,1,1425.0
CONT-HOS.GINE-1,1429,1,1405.0
HGY-QUI.CPL.CAJA-0,0,1,
HGY-QUI.CPL.CAJA-0,0,1,0.0
CONT-QUI.GINE-1,163,1,81.0
CONT-QUI.TRA-2,1303,1,1277.0
CONT-QUI.CP-2,1276,1,1268.0
EQP-QUI.GINE.006-1,1,1,1.0
EQP-QUI.GINE.005-3,1,1,1.0
EQP-CCEE.GIN.005-5,1,1,1.0
EQP-CCEE.GIN.003-4,1,1,
EQP-CCEE.GIN.002-5,1,1,-1428.0
EQP-CCEE.GIN.002-4,1,1,-1435.0
CONT-CCEE.GINE-7,0,1,
CONT-QUI.TRA-1,0,1,-81.0
CONT-QUI.TRA-1,0,1,0.0
CONT-QUI.TRA-2,118,1,-1185.0
CONT-QUI.URO-2,1397,1,-34.0
CONT-QUI.NEUR-2,299,1,-1117.0
CONT-QUI.CPL-2,274,1,64.0
CONT-QUI.OFT-2,84,1,48.0
CONT-HOS.OFT-2,1412,1,-26.0
CONT-HOS.UCIA-6,1439,1,
CONT-CESAREAS-1,51,1,-755.0
DEP-QUI.TRA.STRYK-42,1,1,-26.0
CONT-QUI.OFT-1,1308,1,133.0
CONT-QUI.TRA-1,1308,1,1308.0
